"arabic","brazilian","bulgarian","czech","danish","dutch","english","finnish","french","german","greek","hungarian","italian","japanese","koreana","latam","norwegian","polish","portuguese","romanian","russian","schinese","spanish","swedish","tchinese","thai","turkish","ukrainian","vietnamese"
"مُكشاف الألغام تتريس","Campo Minado Tetris","Миночистач Тетрис","Minový Tetris","Minerydder Tetris","Mijnenveger Tetris","MineSweeper Tetris","Miinaharava Tetris","Démineur Tetris","Minesweeper Tetris","Ναρκαλιευτής Τέτρις","Aknakereső Tetris","Campo Minato Tetris","マインスイーパーテトリス","지뢰찾기 테트리스","Buscaminas Tetris","Minesveiper Tetris","Saper Tetris","Campo Minado Tetris","Minesweeper Tetris","Сапёр Тетрис","扫雷俄罗斯方块","Buscaminas Tetris","Minsvepare Tetris","掃雷者俄羅斯方塊","Minesweeper Tetris","Mayın Tarlası Tetris","Сапер Тетріс","Dò Mìn Tetris"
"لعبة مُكشاف الألغام تتريس تعمل بالفعل!","Campo Minado Tetris já está em execução!","Миночистач Тетрис вече работи!","Minový Tetris již běží!","Minerydder Tetris kører allerede!","Mijnenveger Tetris draait al!","MineSweeper Tetris is already running!","Miinaharava Tetris on jo käynnissä!","Démineur Tetris est déjà en cours d'exécution !","Minesweeper Tetris läuft bereits!","Το Ναρκαλιευτής Τέτρις λειτουργεί ήδη!","Az Aknakereső Tetris már fut!","Campo Minato Tetris è già in esecuzione!","マインスイーパーテトリスは既に実行中です！","지뢰찾기 테트리스가 이미 실행 중입니다!","¡Buscaminas Tetris ya está en funcionamiento!","Minesveiper Tetris kjører allerede!","Saper Tetris już działa!","Campo Minado Tetris já está em execução!","Minesweeper Tetris este deja în funcțiune!","Сапёр Тетрис уже запущен!","扫雷俄罗斯方块已经在运行了！","¡Buscaminas Tetris ya está en funcionamiento!","Minsvepare Tetris körs redan!","掃雷者俄羅斯方塊已經在運行了！","Minesweeper Tetris กำลังทำงานอยู่แล้ว!","Mayın Tarlası Tetris zaten çalışıyor!","Сапер Тетріс вже запущений!","Dò Mìn Tetris đã được khởi chạy!"
"يرجى إطلاق مُكشاف الألغام تتريس من Steam!","Por favor, inicie o Campo Minado Tetris pelo Steam!","Моля, стартирайте Миночистач Тетрис от Steam!","Prosím, spusťte Minový Tetris ze Steamu!","Venligst start Minerydder Tetris fra Steam!","Start Mijnenveger Tetris vanuit Steam!","Please launch MineSweeper Tetris from Steam!","Käynnistä Miinaharava Tetris Steamista!","Veuillez lancer Démineur Tetris depuis Steam !","Bitte starte Minesweeper Tetris über Steam!","Παρακαλώ εκκινήστε το Ναρκαλιευτής Τέτρις από το Steam!","Kérlek indítsd el az Aknakereső Tetríst a Steam-en keresztül!","Avvia Campo Minato Tetris da Steam!","Steamからマインスイーパーテトリスを起動してください！","Steam에서 지뢰찾기 테트리스를 실행하세요!","Por favor, inicia Buscaminas Tetris desde Steam.","Vennligst start Minesveiper Tetris fra Steam!","Uruchom Saper Tetris przez Steam!","Por favor, inicie o Campo Minado Tetris pelo Steam!","Vă rugăm să lansați Minesweeper Tetris de pe Steam!","Пожалуйста, запустите Сапёр Тетрис через Steam!","请从Steam启动扫雷俄罗斯方块！","Por favor, inicia Buscaminas Tetris desde Steam!","Vänligen starta Minsvepare Tetris från Steam!","請從Steam啟動掃雷者俄羅斯方塊！","โปรดเริ่มต้น Minesweeper Tetris จาก Steam!","Lütfen Mayın Tarlası Tetris'i Steam'den başlatın!","Будь ласка, запустіть Сапер Тетріс через Steam!","Vui lòng khởi chạy Dò Mìn Tetris từ Steam!"
"فشل تهيئة Steam!","Inicialização do Steam falhou!","Инициализацията на Steam се провали!","Inicializace Steamu selhala!","Initialisering af Steam mislykkedes!","Initialisatie van Steam mislukt!","Steam initialization failed!","Steamin alustus epäonnistui!","Échec de l'initialisation de Steam !","Steam-Initialisierung fehlgeschlagen!","Αποτυχία αρχικοποίησης Steam!","A Steam inicializálása sikertelen!","Inizializzazione di Steam fallita!","Steamの初期化に失敗しました！","Steam 초기화 실패!","¡Falló la inicialización de Steam!","Steam-initialisering mislyktes!","Inicjalizacja Steam nie powiodła się!","Inicialização do Steam falhou!","Inițializarea Steam a eșuat!","Инициализация Steam не удалась!","Steam初始化失败！","¡Inicialización de Steam fallida!","Steam-initiering misslyckades!","Steam初始化失敗！","การเริ่มต้น Steam ล้มเหลว!","Steam başlatma başarısız oldu!","Ініціалізація Steam не вдалася!","Khởi tạo Steam thất bại!"
"فشل تحميل حالة المستخدم الحالي لـ Steam!","Falha ao carregar o status atual do usuário do Steam!","Зареждането на текущия потребителски статус в Steam се провали!","Načtení stavu aktuálního uživatele Steamu selhalo!","Indlæsning af Steam nuværende brugerstatus mislykkedes!","Laden van huidige gebruikersstatus van Steam mislukt!","Steam current user status load failed!","Steamin nykyisen käyttäjän tilan lataus epäonnistui!","Échec du chargement du statut de l'utilisateur actuel de Steam !","Laden des aktuellen Steam-Benutzerstatus fehlgeschlagen!","Αποτυχία φόρτωσης κατάστασης τρέχοντος χρήστη Steam!","A Steam aktuális felhasználói állapotának betöltése sikertelen!","Caricamento dello stato dell'utente corrente di Steam fallito!","Steamの現在のユーザー状態の読み込みに失敗しました！","Steam 현재 사용자 상태 로드 실패!","¡Fallo al cargar el estado actual del usuario de Steam!","Laste inn Steam nåværende brukerstatus mislyktes!","Wczytywanie aktualnego statusu użytkownika Steam nie powiodło się!","Falha ao carregar o status atual do usuário do Steam!","Încărcarea stării utilizatorului curent Steam a eșuat!","Не удалось загрузить текущий статус пользователя Steam!","Steam当前用户状态加载失败！","¡Falló la carga del estado actual del usuario de Steam!","Laddning av Steam nuvarande användarstatus misslyckades!","Steam當前用戶狀態加載失敗！","การโหลดสถานะผู้ใช้ปัจจุบันของ Steam ล้มเหลว!","Steam mevcut kullanıcı durumu yüklemesi başarısız oldu!","Не вдалося завантажити поточний стан користувача Steam!","Không tải được trạng thái người dùng hiện tại của Steam!"
"مُكشاف الألغام تتريس (32-بت)","Campo Minado Tetris (32 bits)","Миночистач Тетрис (32-битов)","Minový Tetris (32-bit)","Minerydder Tetris (32-bit)","Mijnenveger Tetris (32-bits)","MineSweeper Tetris (32-bit)","Miinaharava Tetris (32-bittinen)","Démineur Tetris (32 bits)","Minesweeper Tetris (32-Bit)","Ναρκαλιευτής Τέτρις (32-bit)","Aknakereső Tetris (32 bites)","Campo Minato Tetris (32-bit)","マインスイーパーテトリス（32ビット）","지뢰찾기 테트리스 (32비트)","Buscaminas Tetris (32 bits)","Minesveiper Tetris (32-bit)","Saper Tetris (32-bitowy)","Campo Minado Tetris (32 bits)","Minesweeper Tetris (32 de biți)","Сапёр Тетрис (32-бит)","扫雷俄罗斯方块（32位）","Buscaminas Tetris (32 bits)","Minsvepare Tetris (32-bitars)","掃雷者俄羅斯方塊（32位元）","Minesweeper Tetris (32 บิต)","Mayın Tarlası Tetris (32-bit)","Сапер Тетріс (32-бітний)","Dò Mìn Tetris (32-bit)"
"الإصدار 20221215 (Steam)","Versão 20221215 (Steam)","Версия 20221215 (Steam)","Verze 20221215 (Steam)","Version 20221215 (Steam)","Versie 20221215 (Steam)","Version 20221215 (Steam)","Versio 20221215 (Steam)","Version 20221215 (Steam)","Version 20221215 (Steam)","Έκδοση 20221215 (Steam)","Verzió 20221215 (Steam)","Versione 20221215 (Steam)","バージョン 20221215（Steam）","버전 20221215 (Steam)","Versión 20221215 (Steam)","Versjon 20221215 (Steam)","Wersja 20221215 (Steam)","Versão 20221215 (Steam)","Versiune 20221215 (Steam)","Версия 20221215 (Steam)","版本 20221215（Steam）","Versión 20221215 (Steam)","Version 20221215 (Steam)","版本 20221215（Steam）","เวอร์ชั่น 20221215 (Steam)","Versiyon 20221215 (Steam)","Версія 20221215 (Steam)","Phiên bản 20221215 (Steam)"
"من إنتاج ax_pokl","Criado por ax_pokl","Създадено от ax_pokl","Vytvořil ax_pokl","Lavet af ax_pokl","Gemaakt door ax_pokl","Made by ax_pokl","Tekijä: ax_pokl","Créé par ax_pokl","Erstellt von ax_pokl","Δημιουργία από ax_pokl","Készítette: ax_pokl","Creato da ax_pokl","製作者 ax_pokl","제작자 ax_pokl","Creado por ax_pokl","Laget av ax_pokl","Stworzony przez ax_pokl","Criado por ax_pokl","Creat de ax_pokl","Создано ax_pokl","由 ax_pokl 制作","Creado por ax_pokl","Skapad av ax_pokl","由 ax_pokl 製作","สร้างโดย ax_pokl","ax_pokl tarafından yapıldı","Створено ax_pokl","Được tạo bởi ax_pokl"
"مرخصة تحت GPL-3.0","Licenciado sob GPL-3.0","Лицензирано под GPL-3.0","Licencováno pod GPL-3.0","Licenseret under GPL-3.0","Gelicentieerd onder GPL-3.0","Licensed under GPL-3.0","Lisensoitu GPL-3.0:n alaisuudessa","Sous licence GPL-3.0","Lizenziert unter GPL-3.0","Άδεια χρήσης GPL-3.0","Licencelve a GPL-3.0 alatt","Licenziato sotto GPL-3.0","GPL-3.0の下でライセンスされています","GPL-3.0 라이선스 하에","Licenciado bajo GPL-3.0","Lisensiert under GPL-3.0","Licencjonowany na mocy GPL-3.0","Licenciado sob GPL-3.0","Licențiat sub GPL-3.0","Лицензировано под GPL-3.0","根据GPL-3.0许可","Licenciado bajo GPL-3.0","Licensierad under GPL-3.0","授權於 GPL-3.0","ได้รับอนุญาตภายใต้ GPL-3.0","GPL-3.0 altında lisanslandı","Ліцензовано за GPL-3.0","Được cấp phép theo GPL-3.0"
"موافق","OK","ОК","OK","OK","OK","OK","OK","OK","OK","Εντάξει","OK","OK","OK","확인","OK","OK","OK","OK","OK","OK","确定","OK","OK","確定","OK","Tamam","ОК","OK"
